id,path,thumb,resolution,colors,tags
dpqdxj,https://w.wallhaven.cc/full/dp/wallhaven-dpqdxj.png,https://th.wallhaven.cc/lg/dp/dpqdxj.jpg,3648x2736,#000000|#424153|#999999|#336600|#996633,风景|城市|写实
ox5x1l,https://w.wallhaven.cc/full/ox/wallhaven-ox5x1l.jpg,https://th.wallhaven.cc/lg/ox/ox5x1l.jpg,1500x1000,#ffffff|#cccccc|#424153|#999999|#abbcda,城市|宁静
v93283,https://w.wallhaven.cc/full/v9/wallhaven-v93283.jpg,https://th.wallhaven.cc/lg/v9/v93283.jpg,5469x3075,#66cccc|#424153|#999999|#000000|#663300,动漫|风景|城市|太空|抽象|赛博朋克|写实|宁静|冷色
eyxk3k,https://w.wallhaven.cc/full/ey/wallhaven-eyxk3k.jpg,https://th.wallhaven.cc/lg/ey/eyxk3k.jpg,1500x1000,#333399|#000000|#424153|#663399|#999999,
39qpry,https://w.wallhaven.cc/full/39/wallhaven-39qpry.jpg,https://th.wallhaven.cc/lg/39/39qpry.jpg,6000x4000,#999999|#424153|#996633|#cccccc|#ffffff,风景|城市|太空|写实
2e95xg,https://w.wallhaven.cc/full/2e/wallhaven-2e95xg.jpg,https://th.wallhaven.cc/lg/2e/2e95xg.jpg,6000x4000,#cccccc|#424153|#999999|#66cccc|#abbcda,
gjgell,https://w.wallhaven.cc/full/gj/wallhaven-gjgell.jpg,https://th.wallhaven.cc/lg/gj/gjgell.jpg,1920x1024,#999999|#cccccc|#abbcda|#663399|#424153,动漫|风景|城市|太空|抽象|赛博朋克|写实|冷色|宁静
j51w2p,https://w.wallhaven.cc/full/j5/wallhaven-j51w2p.jpg,https://th.wallhaven.cc/lg/j5/j51w2p.jpg,1417x1000,#ffffff|#424153|#663300|#000000|#cccccc,
o3y7vl,https://w.wallhaven.cc/full/o3/wallhaven-o3y7vl.jpg,https://th.wallhaven.cc/lg/o3/o3y7vl.jpg,2364x1797,#000000|#424153|#996633|#999999|#336600,动漫|风景|城市|太空|抽象|极简|活力|宁静
4v5zyp,https://w.wallhaven.cc/full/4v/wallhaven-4v5zyp.jpg,https://th.wallhaven.cc/lg/4v/4v5zyp.jpg,1920x1200,#424153|#000000|#990000|#663300|#996633,风景|城市|太空|写实|插画|宁静
j5rwg5,https://w.wallhaven.cc/full/j5/wallhaven-j5rwg5.jpg,https://th.wallhaven.cc/lg/j5/j5rwg5.jpg,1920x1080,#999999|#424153|#000000|#996633|#cc6633,
015xj3,https://w.wallhaven.cc/full/01/wallhaven-015xj3.jpg,https://th.wallhaven.cc/lg/01/015xj3.jpg,1920x1200,#999999|#996633|#666600|#424153|#663399,
429x9m,https://w.wallhaven.cc/full/42/wallhaven-429x9m.jpg,https://th.wallhaven.cc/lg/42/429x9m.jpg,1366x768,#000000|#663300|#996633|#cc6633|#660000,风景|城市|太空|写实|活力|冷色
48dyly,https://w.wallhaven.cc/full/48/wallhaven-48dyly.jpg,https://th.wallhaven.cc/lg/48/48dyly.jpg,1152x768,#abbcda|#cccccc|#999999|#663300|#996633,城市
zmprxg,https://w.wallhaven.cc/full/zm/wallhaven-zmprxg.jpg,https://th.wallhaven.cc/lg/zm/zmprxg.jpg,1498x1000,#999999|#424153|#cccccc|#ffffff|#996633,
nk196d,https://w.wallhaven.cc/full/nk/wallhaven-nk196d.jpg,https://th.wallhaven.cc/lg/nk/nk196d.jpg,3000x1688,#996633|#999999|#424153|#cccccc|#e7d8b1,
mpexgy,https://w.wallhaven.cc/full/mp/wallhaven-mpexgy.jpg,https://th.wallhaven.cc/lg/mp/mpexgy.jpg,1242x2208,#424153|#000000|#999999|#663300|#abbcda,风景|城市
4lz72q,https://w.wallhaven.cc/full/4l/wallhaven-4lz72q.jpg,https://th.wallhaven.cc/lg/4l/4lz72q.jpg,1920x1080,#000000|#663300|#424153|#996633|#999999,风景
nmjzz9,https://w.wallhaven.cc/full/nm/wallhaven-nmjzz9.jpg,https://th.wallhaven.cc/lg/nm/nmjzz9.jpg,5163x2904,#000000|#abbcda|#424153|#cccccc|#999999,风景
395e89,https://w.wallhaven.cc/full/39/wallhaven-395e89.jpg,https://th.wallhaven.cc/lg/39/395e89.jpg,6000x4000,#424153|#cccccc|#999999|#abbcda|#66cccc,
q2kdy7,https://w.wallhaven.cc/full/q2/wallhaven-q2kdy7.jpg,https://th.wallhaven.cc/lg/q2/q2kdy7.jpg,4980x3320,#ffffff|#cccccc|#abbcda|#424153|#999999,风景|城市
4g3qyd,https://w.wallhaven.cc/full/4g/wallhaven-4g3qyd.jpg,https://th.wallhaven.cc/lg/4g/4g3qyd.jpg,3000x1813,#424153|#996633|#abbcda|#336600|#999999,城市
